time_sec,traffic_flow_count,net_load_kw,charging_load_kw,discharging_load_kw,v_sourcebus,v_650,v_632,v_633,v_634,v_645,v_646,v_671,v_684,v_652,v_611,v_680,v_675,time_hour
13200,9,0.0,0.0,0.0,0.9999989427555926,0.9999988937613397,1.0000174119500074,1.0003343690519655,1.0003636928250277,1.0049329781899723,1.0240731147727953,1.024278464413863,1.0110068023576981,1.0234853049744184,1.0239325542166549,1.0105435649287264,1.0234853048011923,3.6666666666666665
13800,8,70.0,70.0,0.0,0.9999983532761726,0.9999993076690852,1.0000093451870073,1.0003469599772488,1.0003543573020701,1.0031770009718652,1.0240880758850992,1.0242702596375233,1.014840605572976,1.023499021071739,1.023925214666545,1.0143792020462823,1.0234990208985162,3.8333333333333335
14400,6,0.0,0.0,0.0,0.9999989874309348,0.9999989401768578,1.0000178754938747,1.0003415291660032,1.0003700686763841,1.005052748277727,1.0240830595082435,1.024287309273719,1.0174249481034765,1.0234935837123567,1.023941711493997,1.0169657977633844,1.0234935835391323,4.0
15000,13,70.0,70.0,0.0,0.9999983532761627,0.9999993076690593,1.0000093451870664,1.0003469599744084,1.0003543572967422,1.0031770009850591,1.0240880758806974,1.0242702596307465,1.0148406055907429,1.0234990210667674,1.0239252146597253,1.0143792020645603,1.0234990208935448,4.166666666666667
15600,11,0.0,0.0,0.0,0.9999989874315083,0.9999989401774901,1.0000178754909892,1.0003415293180553,1.0003700688265933,1.005052747563644,1.024083059720172,1.0242873094590497,1.0174249472386638,1.02349358394121,1.0239417116789802,1.0169657968840815,1.0234935837679855,4.333333333333333
16200,8,0.0,0.0,0.0,0.9999887762411492,0.9999884480782727,1.000008891417055,0.9981310915669926,0.9980975121741157,1.0030851504279346,1.0210220374318193,1.0211941696508255,1.00851564511253,1.0202846999064237,1.0207603209605114,1.007935488197007,1.0202846996892145,4.5
16800,8,0.0,0.0,0.0,0.9999887751054616,0.9999884469653048,1.0000088902529696,0.9981308426548254,0.9980972694488344,1.0030848940314316,1.0210217010397327,1.021193840033198,1.0085153062140815,1.0202843540686257,1.020759986167346,1.0079351420874318,1.020284353851414,4.666666666666667
17400,9,0.0,0.0,0.0,0.9999887751054616,0.9999884469653048,1.0000088902529696,0.9981308426548254,0.9980972694488344,1.0030848940314316,1.0210217010397327,1.021193840033198,1.0085153062140815,1.0202843540686257,1.020759986167346,1.0079351420874318,1.020284353851414,4.833333333333333
18000,8,0.0,0.0,0.0,0.9999888283944588,0.999988506594696,1.0000093267445753,0.9981404633344068,0.9981061210958175,1.0031986955174326,1.021035017322968,1.0212060833407364,1.0149098438189155,1.0202955825415478,1.0207726256408673,1.0143347840578507,1.0202955823243371,5.0
18600,12,0.0,0.0,0.0,0.9999888293540371,0.9999885070135694,1.0000093275951827,0.998140669441982,0.9981062206863056,1.003198861121523,1.0210352896241472,1.0212062198668663,1.014910099820342,1.0202958589836768,1.0207727619277127,1.0143350490949619,1.0202958587664674,5.166666666666667
19200,9,-25.0,0.0,25.0,0.9999890644437839,0.999988382943765,1.0000123707006507,0.9981407432055109,0.9981137488276027,1.0038668672763453,1.0210359823281572,1.021214801797566,1.0158315721831,1.0202963627720212,1.0207810961158654,1.0152575272007844,1.0202963625548107,5.333333333333333
19800,10,70.0,70.0,0.0,0.9999708613881187,0.9999737544344375,0.9999854802861583,0.9944173522684021,0.994830841098115,0.9979847087885849,1.0220967309393876,1.022944042012975,1.0140207195765745,1.0209142871566632,1.0222530603248254,1.0130977237063339,1.0209142868093388,5.5
20400,11,70.0,70.0,0.0,0.9999709249547656,0.9999738332758881,0.9999858382872077,0.9944307778249947,0.994842789894407,0.9980817161577814,1.022115264040421,1.022960613343989,1.0203502635315382,1.0209295593540038,1.0222702615879233,1.0194353162805379,1.020929559006689,5.666666666666667
21000,10,0.0,0.0,0.0,0.9999716301858335,0.9999735110680893,0.9999947969028813,0.9944386455799037,0.9948673314679191,1.0000502947182695,1.0221267642950993,1.022989866252956,1.0230810384319102,1.0209401761425092,1.022298419077392,1.0221707387522436,1.020940175795194,5.833333333333333
21600,36,-100.0,0.0,100.0,0.9999725613516333,0.9999729698668754,1.0000068186550795,0.9944367434930648,0.994892647647615,1.002667635637093,1.0221249778638346,1.0230179011309133,1.0204970281436827,1.020940454704628,1.022324236178592,1.0195853199828866,1.020940454357315,6.0
22200,53,65.0,140.0,75.0,0.9999709750094365,0.9999738104234001,0.9999864827087555,0.9944312703253687,0.994844470774229,0.9982234992468907,1.0221160018785014,1.0229626099743299,1.020546495429409,1.0209302346387228,1.0222721799879757,1.0196318749313542,1.0209302342914077,6.166666666666667
